"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://echipadetocilari.ro/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,864","","https://www.echipadetocilari.ro/","HTTP Redirect","","","1.1","","","","","","https://echipadetocilari.ro/","2026-08-06 21:44:57"
"https://www.echipadetocilari.ro/","text/html; charset=UTF-8","200","OK","Indexable","","Home | Echipa De Tocilari","25","228","Agentie Web Design","18","122","","0","Marketing online facut de tocilari!","35","Suntem aici pentru afacerea ta!","31","Cum iti putem ajuta afacerea?","29","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/","","","","","","126357","25343","25343","9,708","","1114","156","7,141","43,373","Hard","5,900","1","0","","32","9","0","100,000","26","7","0","2","2","0","","","","","ffdd05dab7b3cf0d608244c506abf105","0,057","Wed, 05 Aug 2026 23:52:09 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/","2026-08-06 21:44:59"
"https://www.echipadetocilari.ro/creare-site-web/","text/html; charset=UTF-8","200","OK","Indexable","","Creare Site Web | Echipa De Tocilari","36","319","Vrei să ai un site web care să te facă să strălucești pe internet? Alege serviciul nostru de creare site web și lasă-ne să transformăm visurile tale în","151","884","","0","Creare site web","15","Prezenta online conteaza!","25","Tipuri de creare site web","25","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/creare-site-web/","","","","","","119076","19529","19529","7,481","","800","136","5,882","51,122","Fairly Hard","4,436","2","1","","43","9","0","100,000","24","7","0","2","2","0","","","","","daae5fd571ca63d8474c09a15187a1d7","0,064","Wed, 05 Aug 2026 23:08:14 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/creare-site-web/","2026-08-06 21:45:00"
"https://www.echipadetocilari.ro/portofoliu/","text/html; charset=UTF-8","200","OK","Indexable","","Portofoliu | Echipa De Tocilari","31","262","La Echipa de Tocilari, îți oferim ție și afacerii tale posibilitatea de a alege unul dintre numeroasele template-uri disponibile, fiecare fiind proiectat cu","156","891","","0","Portofoliu Web Design","21","Uite ce putem face pentru afacerea ta","37","Noi te putem ajuta, indferent de orasul in care te afli.","56","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/portofoliu/","","","","","","74073","16437","16437","6,297","","153","22","6,955","46,058","Hard","1,866","2","1","","21","9","0","100,000","20","6","0","2","2","0","","","","","369d2362dd3a76fdd5ceeb25f3c290ad","0,057","Thu, 06 Aug 2026 11:23:19 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/portofoliu/","2026-08-06 21:45:00"
"https://www.echipadetocilari.ro/administrare-site/","text/html; charset=UTF-8","200","OK","Indexable","","Administrare Site | Echipa De Tocilari","38","330","Beneficiază de serviciile noastre în administrare site și mentenață și crește-ți afacerea online cu succes!","107","633","","0","Mentenanta la nivel inalt","25","Administrare site & magazin online","34","Preturi Administrare","20","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/administrare-site/","","","","","","90487","15779","15779","6,045","","255","55","4,636","58,475","Fairly Hard","2,115","2","1","","35","9","0","100,000","24","6","0","2","2","0","","","","","f979c396904005de3209c45bdc614824","0,053","Thu, 06 Aug 2026 08:47:53 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/administrare-site/","2026-08-06 21:45:01"
"https://www.echipadetocilari.ro/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Echipa De Tocilari","28","244","Noi te putem ajuta, indferent de orasul in care te afli. Ne-ar face mare placere sa luam legatura si sa te ajutam cu proiectul pe care il ai! Scrie-ne un","153","892","","0","","0","Noi te putem ajuta, indferent de orasul in care te afli.","56","Ne-ar face mare placere sa luam legatura si sa te ajutam cu proiectul pe care il ai!","84","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/contact/","","","","","","57477","13134","13134","5,031","","39","7","5,571","79,703","Fairly Easy","1,105","2","1","","32","9","0","100,000","20","6","0","2","2","0","","","","","886e546766e13434b23d6bd4f99b291d","0,052","Thu, 06 Aug 2026 17:50:35 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/contact/","2026-08-06 21:45:01"
"https://www.echipadetocilari.ro/servicii-seo/","text/html; charset=UTF-8","200","OK","Indexable","","Servicii SEO | Echipa De Tocilari","33","281","Servicii SEO on page:","21","128","","0","Servicii SEO","12","Oferim un boost afacerii tale!","30","Pentru ce am nevoie de servicii SEO?","36","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/servicii-seo/","","","","","","137539","19485","19485","7,464","","906","177","5,119","48,034","Hard","4,380","2","1","","36","9","0","100,000","25","6","0","2","2","0","","","","","a1b0caa315be3f011b615a2e95444cee","0,069","Thu, 06 Aug 2026 17:50:37 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/servicii-seo/","2026-08-06 21:45:01"
"https://www.echipadetocilari.ro/about-2/","text/html; charset=UTF-8","200","OK","Indexable","","About | Echipa De Tocilari","26","227","Lorem ipsum dolor sit rot off gamet, cons ctetur adipi scing elit. Proin rutrum euismod dolor, ultri Lies aliq luam ekolor.","123","724","","0","About Us","8","We Are Beyond","13","Digital Lovers","14","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/about-2/","","","","","","91854","16155","16155","6,189","","361","76","4,750","56,249","Fairly Hard","2,834","2","1","","6","3","0","33,330","23","8","0","2","2","0","","","","","542eff7bd67bc6af520c31de33c4e87f","0,095","Thu, 06 Aug 2026 17:50:34 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/about-2/","2026-08-06 21:45:01"
"https://www.echipadetocilari.ro/services/","text/html; charset=UTF-8","200","OK","Indexable","","Services | Echipa De Tocilari","29","250","Lorem ipsum dolor sit amet, cons ctetur adiop iscing elit, sed do eiusmod tempor incid didunt ult labore et dolore magna aliqua ryuti dfyo jfko desr.","149","897","","0","Our Services","12","One-Stop Digital Agency","23","Increase Sales","14","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/services/","","","","","","125396","21952","21952","8,409","","491","86","5,709","51,827","Fairly Hard","2,734","3","1","","4","2","0","22,220","30","8","0","2","2","0","","","","","77d55f1ac2f4c921f070452feb415b5e","0,101","Thu, 06 Aug 2026 17:50:42 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/services/","2026-08-06 21:45:01"
"https://www.echipadetocilari.ro/clients/","text/html; charset=UTF-8","200","OK","Indexable","","Clients | Echipa De Tocilari","28","236","Lorem ipsum dolor sit orot amet, cons ectetur adip scing elit. Proin rutrum euismod dolor, ultricies aliq luam off kool or taka ekolor.","135","800","","0","Our Clients","11","Our Partners Believe in Us","26","Join Us And Be Part of Our Success","34","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.echipadetocilari.ro/clients/","","","","","","81484","15258","15258","5,845","","238","47","5,064","45,292","Hard","2,383","4","1","","4","2","0","22,220","22","8","0","2","2","0","","","","","22642b1b9c5c2c04b9c55d52d92a1a4a","0,074","Thu, 06 Aug 2026 17:50:39 GMT","","","","en-US","1.1","","","","","","https://www.echipadetocilari.ro/clients/","2026-08-06 21:45:02"
"http://www.echipadetocilari.ro/","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","353","353","353","0,135","","0","","","","","0,000","3","0","","1","1","0","11,110","0","0","0","0","0","0","","","","","","0,017","","https://www.echipadetocilari.ro/","HTTP Redirect","","","1.1","","","","","","http://www.echipadetocilari.ro/","2026-08-06 21:45:03"
