Keyword Stats 2026-08-28 at 02_29_16
1 August 2025 - 31 July 2026
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026
		All	106250.0																						
		Romania	106250.0																						
abonament mentenanta site	RON																								
administrare google ads	RON		50.0	0%	0%	Medium	50																		
administrare site	RON		500.0	0%	-90%	Medium	35	10.64	70.44																
administrare site pret	RON		50.0	0%	0%	Low	4																		
agentie google ads	RON		500.0	0%	0%	Medium	36	6.91	49.17																
agentie marketing bucuresti	RON		500.0	0%	0%	Medium	33	7.86	23.30																
agentie marketing digital	RON		500.0	0%	0%	Medium	61	15.58	78.71																
agentie marketing online	RON		500.0	0%	0%	Medium	45	19.10	78.70																
agentie marketing online bucuresti	RON		50.0	0%	0%	Low	12	12.82	35.75																
agentie seo	RON		5000.0	0%	-90%	Medium	35	5.04	15.47																
agentie seo bucuresti	RON		500.0	0%	0%	Medium	37	4.92	13.74																
agentie web design bucuresti	RON		500.0	0%	0%	Low	17	6.77	20.18																
audit seo	RON		500.0	0%	0%	Medium	47	3.61	12.76																
audit seo gratuit	RON		500.0	-90%	0%	Low	13	3.60	5.89																
campanii google ads	RON		500.0	0%	0%	Medium	46	9.51	99.13																
cat costa mentenanta unui site	RON																								
cat costa seo	RON		50.0	0%	0%	Low	11																		
cat costa un magazin online	RON		50.0	0%	0%	Medium	41	5.00	18.69																
cat costa un site web	RON		500.0	0%	0%	Medium	61	4.36	10.13																
ce este seo	RON		500.0	0%	0%	Medium	35	0.94	4.93																
consultant seo	RON		500.0	-90%	0%	Low	24	4.92	18.27																
contact agentie marketing	RON																								
creare landing page	RON		50.0	-100%	-100%																				
creare logo	RON		500.0	0%	0%	Medium	62	1.29	5.64																
creare magazin online	RON		5000.0	-90%	0%	Medium	56	14.82	39.68																
creare site	RON		5000.0	0%	0%	Medium	64	8.48	23.59																
creare site agentie imobiliara	RON		50.0	0%	0%	High	86																		
creare site avocat	RON		50.0	0%	0%	Low	14																		
creare site cabinet stomatologic	RON																								
creare site de prezentare	RON		500.0	0%	0%	Medium	39	6.87	16.39																
creare site firma	RON		50.0	0%	0%	Medium	53	10.17	17.98																
creare site restaurant	RON		50.0	0%	0%	Medium	36																		
creare site web	RON		5000.0	0%	0%	Medium	64	8.48	23.59																
creare site web bucuresti	RON		500.0	0%	0%	Low	14	6.06	14.81																
creare site wordpress	RON		500.0	0%	0%	Low	23	4.81	16.21																
cum aleg o agentie de marketing	RON																								
cum apari pe prima pagina google	RON																								
cum imi fac magazin online	RON																								
cum optimizez google business profile	RON																								
facebook ads	RON		5000.0	0%	0%	Medium	56	9.86	90.34																
firma creare site web	RON		50.0	0%	0%	High	96	13.81	20.41																
google ads	RON		50000.0	0%	0%	Medium	56	17.69	558.34																
greseli seo	RON																								
identitate vizuala	RON		500.0	0%	0%	Low	18	1.92	6.14																
logo design	RON		500.0	0%	0%	Medium	57	1.27	7.31																
marketing online firme mici	RON																								
mentenanta site	RON		500.0	900%	0%	Medium	39	5.70	71.46																
mentenanta site pret	RON		50.0	0%	0%	High	69	3.98	41.83																
mentenanta site web	RON		500.0	0%	0%	Low	13																		
mentenanta wordpress	RON		50.0	0%	-90%	Low	31	3.01	6.61																
meta ads	RON		5000.0	0%	0%	Medium	55	10.67	90.34																
migrare site	RON		50.0	0%	0%	High	86																		
optimizare seo	RON		5000.0	0%	0%	Low	10	4.96	20.01																
optimizare seo magazin online	RON		500.0	-90%	-90%	Low	28	9.44	26.26																
optimizare site google	RON		500.0	0%	0%	Low	2	4.63	17.07																
optimizare viteza site	RON		50.0	0%	0%	Low	7																		
pay per click	RON		50.0	0%	0%	Low	23	2.12	28.40																
portofoliu web design	RON		50.0	0%	0%	Low	6																		
pret creare site	RON		500.0	0%	0%	Medium	39	5.50	14.81																
pret optimizare seo	RON		50.0	0%	0%	Medium	59	3.43	7.89																
promovare google	RON		500.0	0%	-90%	Medium	55	18.05	476.17																
promovare online	RON		500.0	0%	0%	Medium	47	5.22	42.48																
promovare site pe google	RON		50.0	0%	0%	High	73	14.37	84.95																
realizare site web	RON		500.0	0%	0%	Low	28	8.94	22.90																
redesign site	RON		50.0	0%	0%	Medium	63	4.34	12.42																
refacere site	RON		50.0	0%	0%	Medium	35	4.44	13.96																
securitate site	RON		50.0	0%	0%	Low	7																		
seo local	RON		50.0	-90%	0%	Low	29	3.80	15.81																
seo pentru avocati	RON																								
seo sau google ads	RON																								
servicii seo	RON		5000.0	0%	0%	Low	11	4.92	14.78																
servicii seo ai	RON																								
servicii seo bucuresti	RON		500.0	0%	0%	Medium	41	4.86	14.77																
servicii seo pret	RON		500.0	0%	0%	Low	33	3.81	8.39																
site de prezentare pret	RON		50.0	0%	0%	Medium	37	5.41	14.93																
site pentru cabinet stomatologic	RON																								
site pentru clinica veterinara	RON																								
site pentru pensiune	RON																								
site pentru restaurant	RON																								
site pentru salon	RON																								
strategie marketing digital	RON		50.0	0%	0%	Low	14																		
web design bucuresti	RON		500.0	0%	0%	Medium	35	6.20	17.10																
