Keyword Stats 2026-08-28 at 04_26_18
1 August 2025 - 31 July 2026
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026
dezvoltare aplicatii mobile	RON	500	0%	-90%	Medium	58	6.64	27.04																	
software personalizat	RON	50	-100%	-100%	Unknown																				
creare magazin online	RON	5000	-90%	0%	Medium	56	14.82	39.68																	
agentie digitala	RON	50	0%	0%	Medium	50	19.74	78.70																	
firma software	RON	50	0%	0%	Medium	40	3.18	11.70																	
creare site magazin online	RON	500	0%	0%	Medium	53	14.85	66.24																	
creare magazin online pret	RON	500	0%	0%	Medium	40	12.44	47.80																	
agentie marketing digital	RON	500	0%	0%	Medium	61	15.58	78.71																	
realizare magazin online	RON	500	0%	0%	Low	29	14.24	54.46																	
creeaza magazin online	RON	50	0%	0%	Low	26	19.72	44.20																	
magazin online creare	RON	50	0%	0%	Medium	39	17.74	39.21																	
agentie de marketing online	RON	500	0%	0%	Medium	41	19.70	78.72																	
creare site vanzari online	RON	50	0%	0%	High	90																			
agentie social media marketing	RON	50	0%	0%	Low	18	4.79	15.36																	
creare site online	RON	50	0%	0%	Low	31	13.78	34.86																	
pret site magazin online	RON	50	0%	0%	Medium	62	15.25	24.60																	
creare site web magazin online	RON	50	0%	0%	Medium	57	14.83	56.62																	
agentie de marketing digital	RON	500	0%	0%	Medium	56	17.80	67.21																	
creare magazin online shopify	RON	500	-90%	0%	Medium	46	4.47	16.21																	
agentii de marketing online	RON	50	0%	0%	Low	0																			
agentie de social media marketing	RON	50	0%	0%	Medium	43																			
agentie de digital marketing	RON	50	0%	0%	High	82	19.70	78.79																	
pret creare magazin online	RON	50	0%	0%	High	69	11.58	22.17																	
creare magazine online	RON	500	0%	-90%	Medium	48	18.75	97.71																	
pret creare site magazin online	RON	50	0%	0%	High	83	6.92	18.43																	
realizare magazin online pret	RON	50	-100%	-100%	Unknown																				
creare magazin online ieftin	RON	50	0%	0%	Medium	57																			
realizare site magazin online	RON	50	0%	0%	Low	0																			
crearea unui magazin online	RON	50	0%	0%	Low	0																			
creare magazin online wordpress	RON	500	0%	-90%	Low	9	7.28	16.79																	
creare magazin shopify	RON	50	0%	0%	Medium	56	3.41	25.01																	
creare site de vanzari	RON	50	0%	-90%	High	86																			
agentii marketing online	RON	500	0%	0%	Medium	45	19.10	78.70																	
dezvoltare aplicatie mobila	RON	50	0%	0%	Medium	47	7.16	42.23																	
pret platforma magazin online	RON	50	-100%	-100%	Unknown																				
oferta creare magazin online	RON	50	∞	0%	High	86																			
creare platforma online	RON	50	0%	0%	High	71	8.86	18.69																	
cost creare magazin online	RON	50	0%	∞	Medium	57																			
creare site vanzari	RON	50	0%	0%	High	69	14.36	22.99																	
servicii creare magazin online	RON	50	-100%	-100%	Unknown																				
creare magazin online prestashop	RON	50	0%	0%	Unknown																				
creare site ecommerce	RON	50	0%	0%	High	86																			
creare magazin online opencart	RON	50	0%	0%	High	86	4.39	15.45																	
creaza site online	RON	50	0%	∞	High	81	25.04	45.19																	
agentie ppc marketing	RON	50	-100%	-100%	Unknown																				
dezvoltare aplicatii android	RON	50	-100%	-100%	Unknown																				
creare magazin online profesional	RON	50	-100%	-100%	Unknown																				
firma creare magazin online	RON	50	0%	0%	Medium	60	21.24	29.81																	
creare magazin online magento	RON	500	-90%	0%	Medium	57	14.81	78.14																	
agentie digital	RON	50	0%	0%	High	93																			
agentie performance marketing	RON	50	0%	0%	High	75	9.92	24.54																	
cea mai buna agentie de digital marketing	RON	50	-100%	0%	Unknown																				
costuri realizare magazin online	RON	50	0%	-100%	Unknown																				
creare magazin	RON	50	0%	0%	Low	0																			
creare magazin ecommerce	RON	50	0%	0%	High	86																			
creare magazin magento	RON	500	-99%	0%	Medium	43	34.42	180.76																	
creare magazin online in rate	RON	50	-100%	0%	Unknown																				
creare magazin online la cheie	RON	500	0%	0%	Medium	53	14.77	33.18																	
creare magazin online modern	RON	50	0%	0%	Unknown																				
creare magazin online rapid	RON	50	-100%	0%	Unknown																				
creare magazin prestashop	RON	50	0%	0%	Medium	46																			
creare magazin virtual	RON	50	0%	0%	Low	0																			
creare magazin web	RON	50	0%	∞	Low	0																			
creare platforma ecommerce	RON	50	∞	∞	High	71																			
creare site magento	RON	50	0%	0%	Low	29																			
creare site web online	RON	50	-100%	-100%	Unknown																				
crearea magazin online	RON	50	0%	0%	High	86																			
crearea unui site de vanzari	RON	50	∞	0%	Low	0																			
design aplicatii mobile	RON	50	-100%	-100%	Unknown																				
dezvoltare aplicatie android	RON	50	-100%	-100%	Unknown																				
dezvoltare aplicatii ios	RON	50	0%	0%	Medium	54																			
dezvoltare aplicatii mobil	RON	50	0%	0%	Medium	47	7.16	42.23																	
dezvoltare software personalizat	RON	50	0%	0%	High	79	4.51	11.81																	
firma de software	RON	50	0%	0%	Medium	58	5.24	14.15																	
firme de software	RON	50	0%	0%	Low	0																			
firme software	RON	50	0%	0%	High	68	2.92	6.52																	
oferta realizare magazin online	RON	50	∞	0%	Low	0																			
optimizare seo prestashop	RON	50	0%	-100%	Unknown																				
platforme pentru magazine online	RON	50	-100%	-100%	Unknown																				
pret realizare magazin online	RON	50	0%	0%	High	71																			
prezentare magazin online	RON	50	0%	0%	Unknown																				
realizam magazin online	RON	50	0%	0%	Unknown																				
realizare aplicatii ios	RON	50	-100%	-100%	Unknown																				
realizare aplicatii mobile	RON	50	0%	0%	High	86																			
realizare magazin	RON	50	∞	0%	Low	0																			
realizare magazin online ieftin	RON	50	∞	∞	Medium	34																			
realizare magazin online la cheie	RON	50	0%	0%	Unknown																				
realizare magazin online magento	RON	500	-90%	∞	Medium	37																			
realizare magazin online profesional	RON	50	0%	0%	Unknown																				
realizare magazin virtual	RON	50	0%	0%	Unknown																				
realizare site ecommerce	RON	50	-100%	-100%	Unknown																				
realizare site reduceri	RON	0	0%	0%	Unknown																				
realizarea unui magazin online	RON	50	0%	0%	Unknown																				
creare aplicatie web	RON		 --	 --	Unknown																				
