Keyword Stats 2026-08-28 at 04_24_59
1 August 2025 - 31 July 2026
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026
		All	8800.0																						
		Romania	8800.0																						
administrare facebook ads	RON		50.0	∞	∞	Low	4																		
administrare pagina facebook	RON		50.0	0%	0%	Low	23																		
agentie dezvoltare web	RON																								
agentie digitala	RON		50.0	0%	0%	Medium	50	19.74	78.70																
agentie digitala bucuresti	RON		50.0	∞	∞	Medium	52																		
agentie digitala cluj	RON																								
agentie facebook ads	RON		500.0	0%	900%	Low	29	14.03	77.92																
agentie meta ads	RON																								
agentie social media	RON		500.0	-90%	0%	Medium	47	6.02	34.42																
agentie web design	RON		500.0	0%	0%	Medium	45	7.66	31.48																
aplicatie mobila pentru firma	RON																								
aplicatie web personalizata	RON																								
aplicatie web vs site	RON																								
aplicatii mobile la comanda	RON																								
aplicatii software personalizate	RON		50.0	∞	∞	Low	7																		
aplicatii web la comanda	RON																								
campanii facebook ads	RON		50.0	0%	0%	Low	21																		
campanii meta ads	RON																								
cat costa o aplicatie mobila	RON		50.0	0%	0%	Medium	41	1.94	6.49																
cat costa o aplicatie web	RON		50.0	0%	∞	Low	14																		
cat costa promovarea pe facebook	RON		50.0	0%	0%	High	75	3.80	9.86																
cat dureaza dezvoltarea unei aplicatii	RON																								
companie software	RON		50.0	0%	0%	High	86																		
creare aplicatie android	RON		50.0	0%	0%	High	78	6.55	21.59																
creare aplicatie ios	RON		50.0	0%	0%	Medium	64	7.16	25.35																
creare aplicatie mobila	RON		50.0	0%	0%	High	76	4.50	23.24																
creare aplicatie mobila bucuresti	RON																								
creare aplicatie online	RON																								
creare aplicatie telefon	RON																								
creare aplicatie web	RON																								
creare aplicatie web bucuresti	RON																								
creare magazin online bucuresti	RON		500.0	-90%	0%	Low	25	14.15	58.59																
creare magazin online cluj	RON		50.0	0%	0%	High	74	14.31	23.73																
creare magazin online shopify	RON		500.0	-90%	0%	Medium	46	4.47	16.21																
creare magazin online woocommerce	RON																								
creare site ecommerce	RON		50.0	0%	0%	High	86																		
crm personalizat	RON		50.0	0%	0%	High	86																		
cum fac o aplicatie mobila	RON																								
dezvoltare aplicatie android	RON		50.0	-100%	-100%																				
dezvoltare aplicatie ios	RON		50.0	0%	0%	Medium	54																		
dezvoltare aplicatii mobile	RON		500.0	0%	-90%	Medium	58	6.64	27.04																
dezvoltare aplicatii web	RON		50.0	0%	0%	Medium	40	4.89	27.25																
dezvoltare ecommerce	RON																								
dezvoltare magazin online	RON		50.0	0%	0%	Medium	64	18.42	31.33																
dezvoltare platforma online	RON																								
dezvoltare software bucuresti	RON																								
dezvoltare software personalizat	RON		50.0	0%	0%	High	79	4.51	11.81																
dezvoltare web	RON		500.0	-90%	-90%	Medium	63	5.41	19.71																
diferenta site si aplicatie web	RON																								
externalizare it	RON		500.0	-90%	0%	Medium	43	6.88	18.17																
facebook ads sau google ads	RON																								
firma aplicatii mobile bucuresti	RON																								
firma creare magazin online	RON		50.0	0%	0%	Medium	60	21.24	29.81																
firma dezvoltare aplicatii mobile	RON																								
firma it bucuresti	RON		500.0	0%	-90%	Medium	53	3.26	14.73																
firma software	RON		50.0	0%	0%	Medium	40	3.18	11.70																
firma software bucuresti	RON		50.0	0%	0%	Medium	46	3.09	12.03																
firma software cluj	RON																								
magazin online la cheie	RON		500.0	0%	-90%	Medium	58	10.84	24.66																
magazin online preturi	RON		50.0	-100%	-100%																				
migrare magazin online	RON		50.0	0%	0%	High	71	2.53	9.94																
optimizare magazin online	RON		500.0	0%	0%	Low	13	12.47	30.20																
platforma web personalizata	RON																								
pret aplicatie mobila	RON		50.0	0%	0%	Medium	51	1.97	5.17																
pret dezvoltare software	RON																								
program de gestiune personalizat	RON																								
promovare facebook	RON		500.0	900%	900%	Low	19	9.85	72.01																
promovare facebook pret	RON		50.0	0%	0%	High	81	5.63	10.83																
promovare instagram	RON		500.0	0%	900%	Low	6	3.83	20.51																
promovare social media	RON		50.0	0%	0%	Medium	55	3.92	24.74																
realizare magazin online	RON		500.0	0%	0%	Low	29	14.24	54.46																
reclame facebook	RON		50.0	0%	-90%	Medium	62	5.74	30.67																
reclame instagram	RON		50.0	0%	0%	High	69	4.92	14.80																
servicii digitale	RON		50.0	0%	0%	Low	1																		
servicii it pentru firme	RON																								
sistem de programari online	RON																								
sistem de rezervari online	RON		50.0	∞	∞	High	86																		
site sau magazin online	RON																								
software la comanda	RON		50.0	0%	0%	Medium	64	3.53	12.09																
software personalizat	RON		50.0	-100%	-100%																				
specialist facebook ads	RON		50.0	0%	0%	High	67																		
woocommerce sau shopify	RON																								
